Nama Sekolah,nama_sekolah_encoded,2016,2017,2018,2019,2020,2021,2022
SMA NEGERI 2 MANDAU,87,1,1,0,1,0,0,0
SMA NEGERI 2 MEDAN,88,2,5,6,1,1,1,2
SMA NEGERI 2 PANGURURAN,89,1,0,0,1,0,2,0
SMA NEGERI 2 PEMATANG SIANTAR,90,13,16,14,23,7,7,2
SMA NEGERI 2 RANTAU SELATAN,91,1,1,1,1,4,3,1
SMA NEGERI 2 RANTAU UTARA,92,4,1,1,1,0,0,0
SMA NEGERI 2 SIBOLGA,93,2,1,9,2,0,1,0
SMA NEGERI 2 SIBORONGBORONG,94,16,9,25,16,9,16,3
SMA NEGERI 2 SILAEN,95,1,0,0,1,1,1,0
SMA NEGERI 2 TAMBUN SELATAN,96,1,0,0,1,0,0,0
SMA NEGERI 2 TARUTUNG,97,9,10,17,6,10,11,1
SMA NEGERI 21 MEDAN,98,1,0,1,2,0,0,0
SMA NEGERI 3 MEDAN,99,11,10,1,8,6,4,0
SMA NEGERI 3 PADANG SIDEMPUAN,100,4,1,0,0,0,0,0
SMA NEGERI 3 PEMATANG SIANTAR,101,23,47,12,6,10,15,6
SMA NEGERI 3 TARUTUNG,102,21,10,6,7,12,29,15
SMA NEGERI 3 TEBING TINGGI,103,3,0,0,3,1,4,1
SMA NEGERI 4 BINJAI,104,2,0,0,2,0,1,0
SMA NEGERI 4 MEDAN,105,7,31,13,7,4,8,8
SMA NEGERI 4 PEMATANG SIANTAR,106,30,44,14,31,40,28,33
SMA NEGERI 4 SIBOLGA,107,2,2,0,7,7,15,5
SMA NEGERI 45 JAKARTA,108,1,0,0,13,9,10,13
SMA NEGERI 5 MEDAN,109,19,36,34,37,4,19,17
SMA NEGERI 5 PEMATANG SIANTAR,110,4,2,8,1,1,2,2
SMA NEGERI 54,111,1,0,0,1,2,4,1
SMA NEGERI 6 BEKASI,112,2,0,0,2,1,2,3
SMA NEGERI 6 MANDAU,113,1,0,0,1,1,1,2
SMA NEGERI 6 MEDAN,114,3,4,0,2,0,1,0
SMA NEGERI 6 PEMATANG SIANTAR,115,3,2,3,1,0,0,1
SMA NEGERI 7 MEDAN,116,6,5,3,1,1,0,0
SMA NEGERI 8 MEDAN,117,2,5,1,3,0,0,0
SMA NEGERI 9 MEDAN,118,1,1,0,1,0,0,1
SMA NUSANTARA LUBUK PAKAM,119,4,0,0,2,2,4,2
SMA PELITA PEMATANG SIANTAR,120,1,1,0,1,0,0,0
SMA RK SANTA MARIA PAKKAT,121,3,3,1,2,2,4,2
SMA RK SERDANG MURNI,122,1,2,1,1,0,0,0
SMA SANTA LUSIA SEI ROTAN,123,1,1,0,1,0,0,0
SMA SANTA MARIA KABANJAHE,124,2,1,1,1,4,6,2
SMA SANTA MARIA MEDAN,125,1,0,2,1,0,0,0
SMA SANTO MICHAEL PANGURURAN,126,2,2,0,23,7,7,2
SMA SANTO THOMAS 1 MEDAN,127,14,27,14,33,10,11,9
SMA SANTO THOMAS 2 MEDAN,128,21,13,7,17,9,24,11
SMA SANTO THOMAS 3 MEDAN,129,12,4,11,13,10,9,7
SMA SANTO YOSEPH MEDAN,130,2,3,2,1,1,1,2
SMA ST. MARIA TARUTUNG,131,8,17,20,10,3,10,6
SMA SUTOMO 1 MEDAN,132,5,2,1,1,5,9,0
SMA SUTOMO 2 MEDAN,133,1,0,0,2,5,3,4
SMA SW. HKBP PARAPAT,134,1,0,0,6,10,15,6
SMA SW. HKBP PEMATANG SIANTAR,135,1,0,0,0,0,0,0
SMA SWASTA ADVENT PEKANBARU,136,1,0,0,2,2,0,0
SMA SWASTA BUDISATRYA,137,1,0,0,1,1,2,1
SMA SWASTA F.TANDEAN TEBING TINGGI,138,1,0,0,1,0,0,0
SMA SWASTA R.A KARTINI SEI RAMPAH,139,1,0,0,5,0,0,0
SMA SWASTA SULTAN ISKANDAR MUDA,140,1,0,1,2,5,3,4
SMA TELADAN MEDAN,141,1,0,4,1,1,0,0
SMA TELADAN PEMATANG SIANTAR,142,4,1,0,0,0,0,0
SMA TRI RATNA SIBOLGA,143,2,0,3,1,0,0,0
SMA UNGGUL DEL,144,3,2,14,13,9,5,3
SMA W. R. SUPRATMAN 2 MEDAN,145,2,2,1,1,1,0,0
SMA WIDYA NUSANTARA,146,2,0,0,1,0,0,0
SMA YADIKA 3 TAMBUN,147,1,0,0,2,0,1,2
SMK BINTANG TIMUR PEMATANG SIANTAR,148,7,6,0,1,2,1,1
SMK GKPS-2,149,1,0,0,0,0,0,0
SMK NEGERI 1 BALIGE,150,5,4,6,78,80,46,43
SMK NEGERI 1 BERINGIN,151,2,0,0,6,10,11,1
SMK NEGERI 1 LAGUBOTI,152,1,0,0,4,3,2,2
SMK NEGERI 1 LUBUK PAKAM,153,3,0,0,2,1,0,0
SMK NEGERI 1 LUMBANJULU,154,7,2,6,11,13,15,11
SMK NEGERI 1 MEDAN,155,2,0,0,2,0,0,0
SMK NEGERI 1 PERCUT SEI TUAN,156,1,0,1,2,2,0,2
SMK NEGERI 1 SIATAS BARITA,157,4,3,1,1,4,6,2
SMK NEGERI 1 SIBORONGBORONG,158,6,0,4,2,2,1,5
SMK NEGERI 1 SIGUMPAR,159,1,0,0,0,0,0,0
SMK NEGERI 2 BALIGE,160,1,1,1,0,0,0,0
SMK NEGERI 9 MEDAN,161,1,0,2,2,2,7,8
SMK PARBINA NUSANTARA,162,1,0,0,1,0,0,0
SMK PGRI 07 BALIGE,163,1,0,0,0,0,0,0
SMK PRESTASI PRIMA JAKARTA TIMUR,164,1,0,0,1,3,2,1
SMK ST NAHANSON PARAPAT SIPOHOLON,165,8,2,2,2,2,4,2
SMK SW. ARJUNA LAGUBOTI,166,2,1,7,1,2,1,1
SMK SW. PERSIAPAN,167,1,0,0,0,0,0,0
SMK SWASTA ABDI SEJATI,168,1,2,0,3,0,1,0
SMK SWASTA BATAM BUSINESS SCHOOL,169,2,0,0,0,0,0,0
SMK SWASTA KARYA TARUTUNG,170,1,0,0,0,0,0,0
SMK SWASTA TRISULA DOLOKSANGGUL,171,1,0,0,10,14,11,13
SMK TELADAN MEDAN,172,1,0,0,4,3,2,2
SMK TELKOM SANDHY PUTRA MEDAN,173,3,11,2,1,0,0,0
SMK TI METHODIST 8 MEDAN,174,1,0,0,8,2,1,1
SMK YADIKA 6,175,1,0,0,1,2,1,1
SMK Yayasan Soposurung,176,1,1,1,0,0,0,0
TAMAN SISWA,177,1,0,0,2,0,1,0
YP. TRISAKTI LAGUBOTI,178,1,0,2,2,1,1,2
